"Symbol";"Value";"Unit";
"mount_position";"Top mount";"";
"REFERENCE";"USB4151-GF-C";"";
"profile";"11.1";"";
"pins";"24";"";
"SUPPLIER";"GCT";"";
"entry";"Top";"";
"TraceParts.PartNumber";"90-01072022-032161";"";
"TRACEPARTS";"TRACEPARTS";"";
"current_rating";"5";"";
"has_mating_face_lead_in";"Without mating face lead in";"";
"interface";"C";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"USB Connectors, Type C, Top mount, 0 offset, Through hole, Vertical";"";
"TraceParts.InstanceId";"90-01072022-03216178P2ST6ENTHNY6M228NL8S6AD";"";
"TraceParts.PartTitle";"USB4151";"";
"version";"3.2 Gen 2";"";
"gender";"Plug";"";
"mount_type";"Surface mount";"";
"orientation";"Vertical";"";
"shell_stake_length";"1.25";"";
"TraceParts.PartVersion";"1.0.3";"";
"body_length_mm";"11.1";"";
"style";"Type C";"";
"shell_stakes";"Through hole";"";
"mating_cycles";"10000";"";
"locating_peg";"With locating peg";"";
